,Title,Content
365,"대구시-경북도-대구은행, 코로나19 극복 지역상생 업무협약 체결","  대구시와 경북도, 대구은행은 지난 8일 대구은행 본점에서 ‘코로나19 극복 지역상생 협력구축을 위한 업무협약’을 체결했다. 이날 협약식에는 권영진 대구시장과 이철우 경북지사, 임성훈 대구은행장 등 관계자들이 참석했다. 이번 협약을 통해 각 기관은 소상공인과 자영업자들이 경쟁력을 강화하는 데...  "
366,"대구은행, 마이데이터 기반 개인자산관리 서비스 오픈","  DGB대구은행은 마이데이터 기반 개인자산관리 서비스를 오픈하고, 이를 기념해 5성급 호텔 숙박권과 스마트 워치 등을 매일 추첨 증정하는 이벤트를 실시한다고 2일 밝혔다. 통합된 금융데이터를 확보하고 축적해 종합적으로 활용하는 마이데이터는 정보 주체인 고객이 동의하면 전 금융기관에 분산돼 있는...  "
367,"DGB대구은행 BC카드, CU편의점 택배 운임 즉시 500원 할인","  ▲ CNB,씨앤비,시앤비,CNB뉴스,씨앤비뉴스 DGB대구은행은 대구은행 BC카드 고객이 CU편의점 택배비를 결제할 경우, 택배 운임 500원 즉시 할인 혜택을 제공하는 이벤트를 진행한다. (사진=DGB대구은행 제공) DGB대구은행은 택배 이용이 증가하는 연말 시즌을 맞아 대구은행 BC카드 고객이 CU편의점...  "
368,"DGB대구은행-신보, 유망 뉴딜산업 육성 업무 협약",  DGB대구은행이 신용보증기금과 유망 뉴딜산업 육성을 위한 업무협약을 체결했다고 2일 밝혔다. 협약에 따라 대구은행은 신용보증기금에 50억원을 출연한다. 이를 재원으로 1000억원 규모의 금융지원과 보증료 감면 등 우대혜택을 제공할 예정이다. 금융지원을 원하는 기업은 신용보증기금 심사를 거쳐...  
369,DGB금융지주·DGB대구은행 [금융소식],"  DGB대구은행, 지역 소외계층 ‘희망 도시락’ 전달 2일 대구 중구 남산종합사회복지관에서 열린 ‘희망 도시락’ 행사에서 자원봉사자들이 도시락 포장을 하고 있다. (DGB대구은행 제공) 2021.12.03 DGB대구은행은 대구 중구 남산종합사회복지관에서 대한적십자사 대구지사와 함께 ‘희망 도시락’ 전달...  "
370,"DGB대구은행 BC카드, CU편의점 택배 무제한 500원 할인","  12월부터 3월말까지 4개월간 횟수 제한 없이 할인 진행 최병수 기자, DGB대구은행(139130)은 택배 이용이 증가하는 연말 시즌을 맞아 DGB대구은행 BC카드 고객이 CU편의점 택배비를 결제할 경우, 택배 운임 500원 즉시 할인 혜택을 제공하는 이벤트를 진행한다. BGF네트웍스와 제휴해 DGB대구은행BC카드...  "
371,"DGB대구은행, 국가고객만족도(NCSI) 지방은행 1위","  ▲ (왼쪽부터) DGB대구은행 임성훈 은행장, 한국생산성본부 안완기 회장. 사진=DGB대구은행 DGB대구은행은 한국생산성본부가 주관하는 21년 국가고객만족도(NCSI) 조사에서 지방은행 1위 기업으로 선정됐다. 국가고객만족도(NCSI)는 한국생산성본부와 미국 미시간 대학이 공동 개발한 고객만족 측정 지표로...  "
372,"DGB대구은행-신보, 유망 뉴딜산업 육성 업무 협약",  DGB대구은행이 신용보증기금과 유망 뉴딜산업 육성을 위한 업무협약을 체결했다고 2일 밝혔다. 협약에 따라 대구은행은 신용보증기금에 50억원을 출연한다. 이를 재원으로 1000억원 규모의 금융지원과 보증료 감면 등 우대혜택을 제공할 예정이다. 금융지원을 원하는 기업은 신용보증기금 심사를 거쳐...  
373,DGB금융지주·DGB대구은행 [금융소식],"  DGB대구은행, 지역 소외계층 ‘희망 도시락’ 전달 2일 대구 중구 남산종합사회복지관에서 열린 ‘희망 도시락’ 행사에서 자원봉사자들이 도시락 포장을 하고 있다. (DGB대구은행 제공) 2021.12.03 DGB대구은행은 대구 중구 남산종합사회복지관에서 대한적십자사 대구지사와 함께 ‘희망 도시락’ 전달...  "
374,"임성훈 대구은행장, MZ세대와 소통 '눈길'","  DGB대구은행은 임성훈 행장이 MZ세대와 함께하는 다양한 소통의 장을 마련하고, 지속적인 기업문화 개선을 위한 노력의 일환으로 '후니가 간다' 프로그램을 진행했다고 1일 밝혔다. 활발한 개인 SNS 활동으로 소통은 물론, 메타버스를 활용한 온라인 부캐로 직원들과 디지털 소통을 이어오고 있는 임 행장이...  "
375,"DGB대구은행 캄보디아 금융사고…檢, 김태오 회장 등 기소",  현지 금융당국 공무원 등에 대한 로비 자금·브로커에게 교부 대구은행 캄보디아 금융사고와 관련해 김태오 DGB금융지주 회장 등 DGB대구은행 관계자들이 무더기로 재판에 넘겨졌다. 대구지검 반부패수사부(부장검사 김남훈)는 6일 국제상거래에 있어서 외국 공무원에 대한 뇌물방지법 위반 등 혐의로 김태오...  
376,"대구은행, 독도등대 근무직원에 500만원 후원",  DGB 대구은행은 포항지방해양수산청에 독도등대 근무직원을 위한 후원금 500만원을 전달했다고 1일 밝혔다. 지난 11월30일 진행된 후원금 전달식에는 박성희 DGB대구은행 환동해본부 상무와 여기동 포항지방해양수산청 청장 등 관계자들이 참석했다.대구은행은 올해로 13년째 ‘독도사랑 후원금’을 지원하고...  
377,"DGB대구은행-대구 남구, ‘먹튜브랑 하는 숨맛꼭질 공모전’ 시상식",  DGB대구은행과 대구 남구가 남구 지역 소상공인 및 자영업자의 홍보 및 매출 활성화를 위해 진행한 ‘먹튜브랑 하는 숨맛꼭질’ 유튜브 공모전 시상식을 개최했다.지난 10월 12일부터 11월 21일까지 진행된 이번 공모전에는 40여개의 영상이 업로드 됐으며 요건 심사 및 외부 전문가 심사단의 공정한 심사를 통해...  
378,'비자금 집단' 꼬리표 끊지 못하는 DGB 대구은행…자정능력 상실,"  DGB 대구은행 본점. '비자금 전문 집단'. DGB 금융그룹과 대구은행에 따라붙는 꼬리표다. 박인규 전 DGB 금융지주 회장 겸 대구은행장이 악몽을 안겼는데, 이번에는 김태오 DGB 금융그룹 회장과 임원이 바통을 이어받았다. 대구은행 관계자는 ""부끄러워서 고개를 들 수가 없다. 자정능력 자체를 상실한 것 같다...  "
379,"대구은행, 마이데이터 기반 개인자산관리 서비스 실시","  DGB대구은행은 마이데이터 기반 개인자산관리 서비스를 오픈했다고 2일 밝혔다. 이를 기념해 5성급 호텔 숙박권, 스마트 워치 등을 매일 추첨 증정하는 기념 이벤트도 실시한다. 통합된 금융데이터를 확보하고 축적해 종합적으로 활용하는 마이데이터는 정보 주체인 고객이 동의하면 전 금융기관에 분산돼 있는...  "
380,"DGB대구은행-대구 남구, ‘먹튜브랑 하는 숨맛꼭질 공모전’ 시상식",  DGB대구은행과 대구 남구가 남구 지역 소상공인 및 자영업자의 홍보 및 매출 활성화를 위해 진행한 ‘먹튜브랑 하는 숨맛꼭질’ 유튜브 공모전 시상식을 개최했다.지난 10월 12일부터 11월 21일까지 진행된 이번 공모전에는 40여개의 영상이 업로드 됐으며 요건 심사 및 외부 전문가 심사단의 공정한 심사를 통해...  
381,"신용보증기금·대구은행, '미래 유망 뉴딜산업 금융지원 업무협약’ 체...","  신용보증기금(이사장 윤대희)은 대구은행(은행장 임성훈)과 2일 대구은행 본점에서 ‘ESG 경영 실천을 위한 미래 유망 뉴딜산업 금융지원 업무협약’을 체결했다고 밝혔다. 이번 협약은 신보와 대구은행이 뉴딜 선도기업 등을 발굴‧지원함으로써 지역의 미래 유망 뉴딜 산업을 육성하고, 지역균형 발전에...  "
